9 336 4359
0 0 0.444845 -0.129843
1 0 0.332936 -0.0717578
0 1 0.53913 -0.155366
1 1 0.429865 -0.0965761
0 2 0.451894 -0.128083
1 2 0.339104 -0.0699977
0 3 0.542655 -0.156246
1 3 0.433037 -0.0965761
0 4 0.506527 -0.142164
1 4 0.394618 -0.0831989
0 5 0.512695 -0.140404
1 5 0.399905 -0.0805586
0 6 0.517101 -0.158006
1 6 0.40343 -0.0981603
0 7 -0.214271 -0.285618
1 7 -0.302388 -0.231053
0 8 0.428103 -0.247774
1 8 0.314432 -0.186168
0 9 0.0800403 -0.403549
1 9 -0.0116014 -0.341063
0 10 0.428103 -0.253935
1 10 0.316194 -0.192329
0 11 0.430746 -0.133364
1 11 0.319719 -0.0752781
0 12 0.532081 -0.165927
1 12 0.416119 -0.106081
0 13 0.540892 -0.174727
1 13 0.428807 -0.11453
0 14 0.532962 -0.238093
1 14 0.417531 -0.175677
0 15 0.0862085 -0.383307
1 15 -0.00631438 -0.322581
0 16 -0.227488 -0.3085
1 16 -0.316486 -0.252175
0 17 0.465993 -0.246014
1 17 0.348797 -0.183528
0 18 0.425459 -0.241614
1 18 0.312669 -0.180888
0 19 0.488903 -0.150965
1 19 0.374351 -0.0919997
0 20 -0.194004 -0.269776
1 20 -0.282121 -0.215211
0 21 0.457181 -0.287378
1 21 0.342629 -0.224012
0 22 0.404487 -0.380666
1 22 0.29857 -0.31642
0 23 0.0946678 -0.359544
1 23 -0.000498651 -0.299347
0 24 0.42352 -0.137764
1 24 0.312493 -0.0796786
0 25 0.518687 -0.240205
1 25 0.407836 -0.178248
0 26 0.462644 -0.241262
1 26 0.347387 -0.180008
0 27 0.419291 -0.139876
1 27 0.308263 -0.0817907
0 28 0.42775 -0.247598
1 28 0.314396 -0.185288
0 29 0.512342 -0.140932
1 29 0.3992 -0.0807346
0 30 0.507055 -0.141988
1 30 0.393913 -0.0828468
0 31 0.467931 -0.250766
1 31 0.352674 -0.188457
0 32 0.45207 -0.132483
1 32 0.339985 -0.073518
0 33 -0.231013 -0.333142
1 33 -0.318777 -0.276113
0 34 0.444669 -0.130371
1 34 0.332584 -0.0722858
0 35 0.0756344 -0.313076
1 35 -0.0160073 -0.255695
0 36 0.516572 -0.15783
1 36 0.40343 -0.0986883
0 37 0.533491 -0.159942
1 37 0.421406 -0.0997444
0 38 0.34633 -0.162054
1 38 0.244819 -0.106081
0 39 0.463702 -0.286674
1 39 0.345273 -0.222252
0 40 -0.214094 -0.285618
1 40 -0.302916 -0.230701
0 41 -0.0322208 -0.284562
1 41 -0.134789 -0.22711
0 42 0.20781 -0.110305
1 42 0.0851511 -0.0543322
0 43 0.343158 -0.165222
1 43 0.242704 -0.109249
0 44 0.339986 -0.26872
1 44 0.240413 -0.210811
0 45 0.35056 -0.26872
1 45 0.248344 -0.209051
0 46 0.447629 -0.129526
1 46 0.335967 -0.0712297
0 47 0.507267 -0.1422
1 47 0.394336 -0.0826356
0 48 -0.214729 -0.285406
1 48 -0.302282 -0.230912
0 49 0.451436 -0.129526
1 49 0.338505 -0.0712297
0 50 0.0771148 -0.31202
1 50 -0.0153023 -0.254991
0 51 0.209079 -0.110517
1 51 0.085997 -0.0547546
0 52 -0.0155138 -0.423544
1 52 -0.105005 -0.362185
0 53 0.512342 -0.258793
1 53 0.398143 -0.195427
0 54 0.45778 -0.317089
1 54 0.339774 -0.251189
0 55 0.512342 -0.140932
1 55 0.399412 -0.0813683
0 56 0.445091 -0.130794
1 56 0.33343 -0.0724971
0 57 0.464125 -0.286674
1 57 0.346118 -0.222041
0 58 -0.0434293 -0.252456
1 58 -0.130559 -0.200074
0 59 0.419714 -0.139665
1 59 0.309321 -0.0826356
0 60 0.451436 -0.132061
1 60 0.338505 -0.0737644
0 61 0.42352 -0.138398
1 61 0.311859 -0.080101
0 62 -0.228686 -0.308218
1 62 -0.317508 -0.251189
0 63 0.517418 -0.158675
1 63 0.404487 -0.0991107
0 64 0.445091 -0.133328
1 64 0.33343 -0.076299
0 65 -0.231224 -0.333564
1 65 -0.320046 -0.276535
0 66 0.431134 -0.134596
1 66 0.31778 -0.0765102
0 67 0.50346 -0.253723
1 67 0.392856 -0.192681
0 68 0.155786 -0.111784
1 68 0.0339727 -0.056022
0 69 0.363883 -0.271466
1 69 0.259834 -0.211902
0 70 -0.158898 -0.418475
1 70 -0.251526 -0.354095
0 71 0.467931 -0.249922
1 71 0.352463 -0.187823
0 72 0.483919 -0.288701
1 72 0.366674 -0.223308
0 73 0.159592 -0.109249
1 73 0.0362568 -0.0529803
0 74 0.20984 -0.11077
1 74 0.0865046 -0.0545012
0 75 0.15807 -0.112291
1 75 0.0347341 -0.0560219
0 76 0.162638 -0.113812
1 76 0.0408247 -0.0575427
0 77 0.451944 -0.129019
1 77 0.339267 -0.0712297
0 78 -0.214983 -0.28566
1 78 -0.303297 -0.230912
0 79 0.445853 -0.133582
1 79 0.333176 -0.075792
0 80 -0.0809882 -0.28566
1 80 -0.184529 -0.226349
0 81 0.423013 -0.138144
1 81 0.313381 -0.0803544
0 82 0.511327 -0.141186
1 82 0.39865 -0.0818752
0 83 0.442808 -0.141186
1 83 0.330131 -0.083396
0 84 0.508282 -0.142706
1 84 0.395605 -0.083396
0 85 -0.176916 -0.355616
1 85 -0.266753 -0.296305
0 86 0.518941 -0.157914
1 86 0.404741 -0.0986038
0 87 0.51285 -0.258286
1 87 0.39865 -0.195934
0 88 0.345357 -0.162477
1 88 0.244608 -0.106715
0 89 -0.00637779 -0.431655
1 89 -0.0977798 -0.367993
0 90 0.464125 -0.241557
1 90 0.346118 -0.177684
0 91 0.462602 -0.323679
1 91 0.343835 -0.258286
0 92 -0.00942311 -0.434696
1 92 -0.100529 -0.371584
0 93 0.520463 -0.238516
1 93 0.408395 -0.176772
0 94 0.45773 -0.317292
1 94 0.340789 -0.251594
0 95 0.0776732 -0.311817
1 95 -0.0139911 -0.255244
0 96 -0.00820496 -0.430438
1 96 -0.0979913 -0.367782
0 97 0.209231 -0.111074
1 97 0.084982 -0.0545011
0 98 0.212886 -0.112899
1 98 0.0904635 -0.056326
0 99 0.448594 -0.129324
1 99 0.337135 -0.0709255
0 100 -0.0940831 -0.282618
1 100 -0.198233 -0.22422
0 101 0.443112 -0.142098
1 101 0.329826 -0.0837001
0 102 0.510718 -0.258894
1 102 0.399259 -0.196846
0 103 -0.231123 -0.308167
1 103 -0.318828 -0.251594
0 104 0.364543 -0.271669
1 104 0.260393 -0.211446
0 105 0.399259 -0.408539
1 105 0.294165 -0.343703
0 106 0.00275822 -0.454162
1 106 -0.0904287 -0.388465
0 107 0.347367 -0.265464
1 107 0.245775 -0.207796
0 108 0.459192 -0.333352
1 108 0.340789 -0.267654
0 109 0.459192 -0.324592
1 109 0.342616 -0.258894
0 110 -0.0451143 -0.254514
1 110 -0.13282 -0.201956
0 111 -0.159131 -0.429708
1 111 -0.251222 -0.3662
0 112 -0.233681 -0.333352
1 112 -0.321386 -0.276413
0 113 -0.150361 -0.429708
1 113 -0.238066 -0.3662
0 114 0.000931046 -0.451607
1 114 -0.0911596 -0.38591
0 115 0.444282 -0.14239
1 115 0.331142 -0.084576
0 116 0.41797 -0.242251
