9 321 4372
0 0 -0.342471 -0.0813594
1 0 -0.444345 -0.01819
0 1 0.392039 -0.0293975
1 1 0.264697 0.0398851
0 2 0.533644 0.0521115
1 2 0.404264 0.121394
0 3 0.428714 -0.114982
1 3 0.295259 -0.0416238
0 4 0.493913 0.0877716
1 4 0.364533 0.156035
0 5 0.0660432 0.16113
1 5 -0.0643553 0.224299
0 6 0.486782 0.0847151
1 6 0.358421 0.152979
0 7 0.524475 0.070451
1 7 0.398559 0.1379
0 8 0.529569 0.0694321
1 8 0.403246 0.137696
0 9 0.497988 0.0673944
1 9 0.368608 0.135658
0 10 0.519382 0.0653567
1 10 0.390002 0.13362
0 11 0.332953 -0.15268
1 11 0.207648 -0.0803406
0 12 0.333971 -0.154717
1 12 0.208667 -0.0823783
0 13 0.516325 0.0582247
1 13 0.383889 0.127507
0 14 0.368608 -0.189359
1 14 0.248397 -0.116001
0 15 0.42362 0.101017
1 15 0.295259 0.168262
0 16 0.41547 0.0989791
1 16 0.288128 0.166224
0 17 0.436864 -0.12517
1 17 0.30239 -0.0507936
0 18 0.465389 0.0745264
1 18 0.33499 0.14279
0 19 -0.320059 -0.0630199
1 19 -0.421729 -0.000258011
0 20 0.428714 -0.0813594
1 20 0.299334 -0.00902023
0 21 0.400189 -0.0416238
1 21 0.271828 0.0276588
0 22 0.0122538 -0.167759
1 22 -0.0977699 -0.0980687
0 23 -0.358159 -0.10785
1 23 -0.460848 -0.0418276
0 24 0.394892 0.0926622
1 24 0.268772 0.160111
0 25 -0.00852839 -0.113963
1 25 -0.116311 -0.0467181
0 26 0.476798 -0.254566
1 26 0.322765 -0.172038
0 27 -0.361827 -0.13597
1 27 -0.462682 -0.0691331
0 28 0.391224 0.0889943
1 28 0.265308 0.156239
0 29 0.386334 0.0877717
1 29 0.260622 0.155017
0 30 0.332545 -0.153087
1 30 0.207852 -0.0809518
0 31 0.486578 0.0853264
1 31 0.358217 0.152571
0 32 0.402227 -0.252121
1 32 0.25451 -0.171019
0 33 0.528143 0.0694322
1 33 0.402471 0.137655
0 34 0.394892 -0.0344918
1 34 0.267753 0.033772
0 35 0.303205 0.0620963
1 35 0.187273 0.127507
0 36 0.52692 0.0474247
1 36 0.397337 0.117115
0 37 0.435234 -0.0283786
1 37 0.30565 0.0413116
0 38 -0.133222 -0.0797292
1 38 -0.253026 -0.013707
0 39 0.436456 -0.0797292
1 39 0.30239 -0.0069825
0 40 0.441346 -0.0393823
1 40 0.31054 0.0315305
0 41 0.429121 -0.115186
1 41 0.294648 -0.0418276
0 42 -0.108772 -0.252121
1 42 -0.213091 -0.178151
0 43 0.413229 0.0816585
1 43 0.285113 0.149392
0 44 0.30076 0.0572058
1 44 0.184624 0.123228
0 45 0.468241 0.0718774
1 45 0.337435 0.140345
0 46 0.427899 -0.0821745
1 46 0.294648 -0.0112617
0 47 0.470686 -0.252121
1 47 0.315634 -0.168982
0 48 0.418608 0.099509
1 48 0.290981 0.166998
0 49 -0.344223 -0.0809518
1 49 -0.445445 -0.0178639
0 50 0.395136 0.0921731
1 50 0.268976 0.159663
0 51 -0.132977 -0.0809518
1 51 -0.250923 -0.0137558
0 52 0.417141 0.0936403
1 52 0.288047 0.16113
0 53 0.415674 0.0980418
1 53 0.288047 0.165531
0 54 -0.358893 -0.107361
1 54 -0.461582 -0.0428057
0 55 0.402471 -0.25261
1 55 0.254306 -0.171427
0 56 0.423009 0.099509
1 56 0.295382 0.166998
0 57 0.390735 0.0892388
1 57 0.264575 0.156728
0 58 0.386334 0.0877717
1 58 0.260174 0.153794
0 59 0.487556 0.0848373
1 59 0.358462 0.152327
0 60 0.499292 0.0672314
1 60 0.370198 0.134721
0 61 -0.187256 -0.0794847
1 61 -0.307548 -0.0119953
0 62 0.512495 0.0569613
1 62 0.381934 0.125918
0 63 0.428877 -0.114697
1 63 0.295382 -0.0413385
0 64 -0.108039 -0.254077
1 64 -0.212684 -0.178763
0 65 0.494891 -0.0486743
1 65 0.365552 0.0229721
0 66 0.436212 -0.124967
1 66 0.301249 -0.0501415
0 67 0.084136 0.118582
1 67 -0.0581613 0.183137
0 68 0.368731 -0.189522
1 68 0.248194 -0.116408
0 69 0.301836 0.0601891
1 69 0.185358 0.125918
0 70 0.437386 -0.034883
1 70 0.305357 0.0355408
0 71 0.398657 0.0936403
1 71 0.27191 0.160543
0 72 0.402178 -0.253197
1 72 0.254306 -0.171916
0 73 0.462031 -0.082419
1 73 0.324721 -0.0102347
0 74 0.145163 0.12181
1 74 0.00257177 0.186952
0 75 -0.360066 -0.107067
1 75 -0.462168 -0.0419253
0 76 0.391616 0.0901191
1 76 0.264868 0.157022
0 77 0.513082 0.0566679
1 77 0.381053 0.125331
0 78 0.41274 0.086598
1 78 0.284233 0.1535
0 79 -0.00623014 -0.112349
1 79 -0.113613 -0.0454465
0 80 -0.344223 -0.0806584
1 80 -0.446325 -0.0172771
0 81 0.150444 0.118289
1 81 0.00609253 0.183431
0 82 0.430344 -0.11587
1 82 0.296555 -0.0419253
0 83 0.386335 -0.265521
1 83 0.239636 -0.183653
0 84 0.322961 -0.0648131
1 84 0.205015 0.00385008
0 85 0.428584 -0.082419
1 85 0.293034 -0.0102347
0 86 -0.31148 -0.210238
1 86 -0.419215 -0.138406
0 87 0.400418 -0.254605
1 87 0.254306 -0.172209
0 88 0.487028 0.0855416
1 88 0.358169 0.153148
0 89 0.459566 -0.0834753
1 89 0.324369 -0.0116431
0 90 0.429992 -0.115166
1 90 0.294795 -0.0412211
0 91 0.301132 0.0601891
1 91 0.185651 0.125331
0 92 0.491253 -0.0496719
1 92 0.362393 0.0221603
0 93 0.421542 0.0982179
1 93 0.29057 0.165825
0 94 0.0835493 0.121458
1 94 -0.0558728 0.184839
0 95 -0.188957 -0.0792499
1 95 -0.309367 -0.0116431
0 96 0.499703 0.0665272
1 96 0.370843 0.134134
0 97 -0.205857 -0.0771372
1 97 -0.324155 -0.0116431
0 98 -0.362179 -0.106715
1 98 -0.463577 -0.0412211
0 99 0.29902 -0.0644609
1 99 0.187412 0.00385008
0 100 -0.364291 -0.136293
1 100 -0.467802 -0.0707991
0 101 -0.178395 -0.0707991
1 101 -0.298805 -0.00319228
0 102 0.38563 -0.265169
1 102 0.240223 -0.182773
0 103 -0.345279 -0.0813626
1 103 -0.446677 -0.0158686
0 104 -0.0647451 -0.263478
1 104 -0.176283 -0.187421
0 105 0.487873 0.0863868
1 105 0.358591 0.154839
0 106 0.406755 0.0965278
1 106 0.280008 0.163712
0 107 0.41943 0.099063
1 107 0.290148 0.16498
0 108 0.459989 -0.0834753
1 108 0.323102 -0.00995293
0 109 0.432105 -0.124039
1 109 0.29902 -0.0496719
0 110 -0.29796 -0.162068
1 110 -0.401893 -0.0936163
0 111 -0.280216 -0.245732
1 111 -0.386683 -0.172209
0 112 0.297752 -0.0657285
1 112 0.184947 0.00314585
0 113 0.418923 0.0975419
1 113 0.291162 0.164473
0 114 -0.204674 -0.0789118
1 114 -0.32331 -0.0124882
0 115 0.397629 0.0914573
1 115 0.269868 0.158388
0 116 0.145149 0.12188
1 116 0.00521947 0.185769
0 117 0.38242 -0.0393619
1 117 0.2577 0.0306112
0 118 -0.0951644 -0.273619
1 118 -0.201632 -0.197562
0 119 0.415881 0.0853727
1 119 0.28812 0.152303
0 120 0.300287 -0.0576157
1 120 0.17861 0.0123573
0 121 0.412839 -0.267535
