15 281 7036
0 0 0.334698 -0.253935
1 0 0.347916 -0.282097
0 1 0.0298136 -0.0559164
1 1 0.0456747 -0.0937599
0 2 0.0359818 -0.0471155
1 2 0.0509617 -0.0858391
0 3 0.322362 -0.136884
1 3 0.332055 -0.172967
0 4 0.286234 -0.144805
1 4 0.295575 -0.183176
0 5 0.323243 -0.133364
1 5 0.332936 -0.168567
0 6 0.40343 0.0180105
1 6 0.407836 -0.0259936
0 7 0.0606546 -0.123683
1 7 0.0738721 -0.167687
0 8 0.0624169 -0.121042
1 8 0.0756344 -0.165927
0 9 0.0271701 -0.224012
1 9 0.0491993 -0.257103
0 10 0.346154 -0.270656
1 10 0.359371 -0.297059
0 11 0.363777 -0.0999204
1 11 0.369593 -0.143044
0 12 0.04215 -0.20641
1 12 0.0632981 -0.237213
0 13 0.291521 -0.0365546
1 13 0.300862 -0.0712297
0 14 0.293283 -0.0383147
1 14 0.302976 -0.073342
0 15 0.0395065 -0.0471155
1 15 0.0544864 -0.084959
0 16 0.0342194 -0.0471155
1 16 0.0491993 -0.0858391
0 17 0.131148 -0.0726379
1 17 0.13996 -0.120162
0 18 0.400786 -0.0664773
1 18 0.405192 -0.111361
0 19 0.128505 -0.0699977
1 19 0.138021 -0.116642
0 20 0.058011 -0.121042
1 20 0.0712286 -0.165046
0 21 0.404311 0.01273
1 21 0.408717 -0.0300419
0 22 0.226315 -0.106081
1 22 0.234245 -0.149205
0 23 0.0324571 -0.052396
1 23 0.047437 -0.0911196
0 24 0.0333383 -0.0490517
1 24 0.048142 -0.0870712
0 25 0.0396827 -0.0458834
1 25 0.0544864 -0.084959
0 26 0.058716 -0.121922
1 26 0.0714048 -0.166279
0 27 0.0608308 -0.124035
1 27 0.0735197 -0.168391
0 28 0.323067 -0.13354
1 28 0.332584 -0.169447
0 29 0.0301661 -0.0564444
1 29 0.0449697 -0.0944639
0 30 0.267025 -0.0332102
1 30 0.275315 -0.0712297
0 31 0.0608308 -0.234925
1 31 0.0840937 -0.262383
0 32 0.334699 -0.253935
1 32 0.347387 -0.281393
0 33 0.125332 -0.073342
1 33 0.133792 -0.120866
0 34 0.128505 -0.266608
1 34 0.144366 -0.300579
0 35 0.34633 -0.270832
1 35 0.359019 -0.297235
0 36 0.435152 0.0174825
1 36 0.439382 -0.0289858
0 37 0.300862 -0.196905
1 37 0.31355 -0.224364
0 38 0.404487 0.0136805
1 38 0.409309 -0.0286478
0 39 0.290288 -0.0357448
1 39 0.299677 -0.0697089
0 40 0.12787 -0.0712297
1 40 0.138021 -0.116853
0 41 0.0593504 -0.12319
1 41 0.0733082 -0.167546
0 42 0.323279 -0.133328
1 42 0.333176 -0.16856
0 43 0.381647 -0.0851703
1 43 0.386723 -0.129526
0 44 0.43494 0.0174825
1 44 0.438747 -0.028141
0 45 0.489502 -0.446356
1 45 0.494578 -0.471702
0 46 0.0618882 -0.235981
1 46 0.0847281 -0.262595
0 47 0.334699 -0.253723
1 47 0.347387 -0.281604
0 48 0.12787 -0.267664
1 48 0.144366 -0.300403
0 49 0.347387 -0.271466
1 49 0.360076 -0.29808
0 50 0.0403172 -0.0446161
1 50 0.0545287 -0.083396
0 51 0.0327039 -0.0496854
1 51 0.0479305 -0.0889722
0 52 0.0301661 -0.056022
1 52 0.0453927 -0.0940415
0 53 0.131677 -0.0724971
1 53 0.140559 -0.119388
0 54 0.225574 -0.107982
1 54 0.233188 -0.149803
0 55 0.4692 -0.436217
1 55 0.476391 -0.461986
0 56 0.334699 -0.253723
1 56 0.348402 -0.281098
0 57 0.127616 -0.26741
1 57 0.144366 -0.300614
0 58 0.0301661 -0.0560219
1 58 0.0453927 -0.0940414
0 59 0.298155 -0.211142
1 59 0.310336 -0.240036
0 60 0.290541 -0.034731
1 60 0.298764 -0.0691006
0 61 0.133707 -0.0727505
1 61 0.14132 -0.119895
0 62 0.0332115 -0.0499388
1 62 0.0469154 -0.0894791
0 63 0.0377794 -0.0438557
1 63 0.0514834 -0.083396
0 64 0.225067 -0.0909999
1 64 0.23268 -0.136623
0 65 0.124571 -0.0727505
1 65 0.133707 -0.119895
0 66 0.244861 -0.109249
1 66 0.250952 -0.151831
0 67 0.381901 -0.0849168
1 67 0.386469 -0.129019
0 68 0.296937 -0.211446
1 68 0.309727 -0.240645
0 69 0.0630556 -0.120199
1 69 0.075846 -0.163997
0 70 0.33348 -0.253419
1 70 0.346271 -0.280793
0 71 0.0356477 -0.0453764
1 71 0.0502653 -0.0837001
0 72 0.127007 -0.0727505
1 72 0.136143 -0.118374
0 73 0.132489 -0.0727505
1 73 0.141625 -0.120199
0 74 0.127007 -0.268019
1 74 0.144366 -0.300868
0 75 0.123353 -0.0727505
1 75 0.132489 -0.120199
0 76 0.0319933 -0.0490263
1 76 0.0466109 -0.0891749
0 77 0.0265117 -0.167647
1 77 0.0396827 -0.218027
0 78 0.404741 0.0166715
1 78 0.408395 -0.027127
0 79 0.223849 -0.109249
1 79 0.231158 -0.153048
0 80 0.404376 0.0170365
1 80 0.408761 -0.026762
0 81 0.213617 -0.0924598
1 81 0.220194 -0.136258
0 82 0.0316279 -0.0486613
1 82 0.0469764 -0.0880799
0 83 0.334211 -0.252324
1 83 0.347367 -0.280793
0 84 0.125911 -0.267654
1 84 0.14126 -0.302693
0 85 0.347367 -0.274224
1 85 0.360523 -0.300503
0 86 0.0623248 -0.118739
1 86 0.073288 -0.169107
0 87 0.212739 -0.276413
1 87 0.225895 -0.310576
0 88 0.346929 -0.273786
1 88 0.360084 -0.300065
0 89 0.333773 -0.252762
1 89 0.346929 -0.279041
0 90 0.0364517 -0.0425294
1 90 0.0496075 -0.0819481
0 91 0.0311894 -0.0504132
1 91 0.0469764 -0.0898318
0 92 0.230105 -0.105074
1 92 0.23642 -0.149223
0 93 0.0375042 -0.187065
1 93 0.0522387 -0.234367
0 94 0.334299 -0.253288
1 94 0.346929 -0.281669
0 95 0.0817077 -0.246981
1 95 0.103809 -0.275362
0 96 0.208003 -0.114534
1 96 0.214318 -0.161837
0 97 0.242735 -0.23752
1 97 0.258522 -0.262748
0 98 0.331142 -0.123995
1 98 0.340614 -0.161837
2 0 0.283591 -0.168567
2 1 0.240413 -0.263616
2 2 0.0359818 -0.161526
2 3 0.308263 -0.291778
2 4 0.245877 -0.135652
2 5 0.0923767 -0.109601
2 6 0.459825 -0.468675
2 7 0.327649 -0.289138
2 8 0.0183584 -0.188809
2 9 0.0576586 -0.253935
2 10 -0.120866 -0.477475
2 11 -0.00790047 -0.28773
2 12 0.0183584 -0.218731
2 13 0.0343957 -0.0469395
2 14 0.382282 -0.0184248
2 15 0.0342194 -0.160646
2 16 0.0377441 -0.161526
2 17 0.35056 -0.103441
2 18 0.011309 -0.277697
2 19 -0.0650003 -0.435584
2 20 0.419291 -0.451073
2 21 -0.0279911 -0.276113
2 22 0.11 -0.132483
2 23 0.0183584 -0.084959
2 24 0.28923 -0.158886
2 25 0.332584 -0.120866
2 26 0.019592 -0.0796786
2 27 0.168686 -0.200074
2 28 0.0185346 -0.188457
2 29 0.0946678 -0.113474
2 30 0.327085 -0.268931
2 31 0.21204 -0.250766
2 32 0.21204 -0.262383
2 33 0.0280513 -0.0754541
2 34 0.362896 -0.0154326
2 35 0.23636 -0.271888
2 36 0.290288 -0.115586
2 37 0.0280513 -0.170503
2 38 0.0362568 -0.157914
2 39 0.340789 -0.3252
2 40 0.438747 -0.457762
2 41 0.211617 -0.251189
2 42 0.168728 -0.200496
2 43 0.33343 -0.120655
2 44 0.0225528 -0.244852
2 45 0.200197 -0.438752
2 46 0.064426 -0.274001
2 47 0.192583 -0.300614
2 48 0.0819789 -0.260271
